category,skintype,name,brand,price,rating,ingredients
8,15,Midnight Recovery Concentrate,KIEHL'S SINCE 1851,47,4.4,['caprylic capric triglyceride dicaprylyl carbonate squalane rosa canina fruit oenothera biennis evening primrose simmondsia chinensis jojoba seed coriandrum sativum coriander seed tocopherol lavandula angustifolia lavender pelargonium graveolens flower linalool rosmarinus officinalis leaf rosemary leaf citronellol geraniol lavandula hybrida cucumis sativus cucumber fruit curcuma longa turmeric root limonene citral sclareolide rosa spp rose flower jasminum officinale jasmine helianthus annuus seed sunflower seed']
2,6,The True Cream Aqua Bomb,BELIF,38,4.5,"['water', 'dipropylene glycol', 'glycerin', 'methl trimethicone', 'alcohol denat', 'dimethicone', 'cyclopentasiloxane', 'malakite', 'caprylic capric triglyceride', 'pentaerythrityl tetraethylhexanoate', 'peg ppg polybutylene glycol 8 5 3 glycerin', 'alchemilla vulgaris leaf', 'equisetum arvense leaf', 'stellaria media chickweed', 'urtica dioica nettle leaf', 'plantago lanceolata leaf', 'avena sativa oat kernel', 'calendula officinalis flower officinalis flower', 'nepeta cataria', 'rubus idaeus raspberry leaf', 'baptisia tinctoria root', 'dimethiconol', 'polymethylsilsesquioxane', 'sodium acrylate acryloyldimethyltaurate dimethylacrylamide crosspolymer', 'isohexadecane', 'polysorbate 60', 'ceramide 3', 'cholesterol', 'butyrospermum parkii shea butter', 'phenl trimethicone', 'pentaerythrityl tetraisostearate', 'panthenol', 'squalane', 'triethylhexanoin', 'macadamia ternifolia seed', 'peg150', 'peg40 hydrogenated castor', 'acrylates c10 30 alkyl acrylate crosspolymer', 'c14 22 alcohols', 'arachidyl glucoside', 'hydrogenated lecithin', 'peg100 stearate', 'stearic acid', 'glyceryl stearate', 'carbomer', 'tromethamine', 'trisodium edta', 'parfume', 'citronellol', 'limonene', 'citral', 'geraniol', 'linalool napiers water formula napiers original formula parfumes of origin']"
2,15,Luna Sleeping Night Oil,SUNDAY RILEY,105,4.1,"['persea gratissima extra virgin', 'cold pressed avocado', 'vitis vinifera', 'cold pressed concord grape seed', 'rubus fruticosus cold pressed blackberry seed', 'salvia hispanica cold pressed chia', 'dimethyl isosorbide', 'hydroxypinacolone retinoate', 'chamomilla recutita matricaria flower', 'tanecetum annuum blue tansy', 'anthemis nobilis english chamomilla recutita flower', 'eriocephalus punctulatus cape chamomilla recutita flower', 'citrus aurantium amara neroli', 'citrus aurantium dulcis blood orange', 'cananga odorata flower cananga odorata flower', 'vetivera zizanoides vetiver', 'helianthus annuus sunflower seed', 'rosmarinus officinalis rosemary leaf', 'color index61565 green 6', 'color index60725 violet 2']"
72,15,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,FARMACY,58,4.6,"['water', 'lactic acid', 'propanediol', 'jojoba esters', 'glycolic acid', 'potassium hydroxide', 'salix alba willow bark', 'carthamus tinctorius safflower oleosomes', 'vitis vinifera grape seed', 'hibiscus sabdariffa flower', 'citric acid', 'mel', 'echinacea purpurea root', 'propolis', 'royal jelly', 'hydrolyzed sodium hyaluronate', 'hydrolyzed hyaluronic acid', 'curcuma longa turmeric root', 'argania spinosa kernel', 'zingiber officinale ginger root', 'amaranthus caudatus seed', 'limnanthes alba meadowfoam seed', 'vaccinium myrtillus fruit leaf', 'saccharum officinarum sugarcane', 'citrus aurantium dulcis orange fruit', 'citrus limon lemon fruit', 'acer saccharum sugar maple', 'melia azadirachta leaf', 'helianthus annuus sunflower seed', 'melia azadirachta flower', 'salvia hispanica seed', 'cetyl stearyl alcohol', 'glycerin', 'arachidyl alcohol', 'sclerotium gum', 'coco glucoside', 'polyacrylate crosspolymer 6', 'behenyl alcohol', 'arachidyl glucoside', 'sodium benzoate', 'tocopherol', 'potassium sorbate', 'corallina officinalis', 'polyglyceryl 10 stearate', 'gluconolactone', 'ocimum basilicum basil flower leaf', 'ocimum sanctum leaf', 't butyl alcohol', 'glucose', 'calcium gluconate', 'citral']"
2,15,Ultra Repair® Cream Intense Hydration,FIRST AID BEAUTY,30,4.6,"['water', 'stearic acid', 'glycerin', 'c12 15 alkyl benzoate', 'caprylic capric triglyceride', 'glyceryl stearate se', 'glyceryl stearate', 'cetyl stearyl alcohol', 'butyrospermum parkii butter', 'dimethicone', 'squalane', 'allantoin', 'camellia sinensis leaf', 'caprylyl glycol', 'ceramide 3', 'chrysanthemum parthenium', 'colloidal oatmeal', 'disodium edta', 'eucalyptus globulus leaf', 'glycyrrhiza glabra root', 'sodium hydroxide', 'xanthan gum', 'phenoxyethanol']"
2,15,Moisture Surge 72-Hour Auto-Replenishing Hydrator,CLINIQUE,39,4.4,"['water', 'dimethicone', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate vp copolymer', 'hydroxyethyl urea', 'camellia sinensis green tea leaf', 'silybum marianum ladys thistle', 'betula alba birch bark', 'saccharomyces lysate', 'aloe barbadensis leaf', 'thermus thermophillus ferment', 'caffeine', 'sorbitol', 'palmitoyl hexapeptide 12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth 10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates c10 30 alkyl acrylate crosspolymer', 'glyceryl polymethacrylate', 'tromethamine', 'peg8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'red 4 color index14700', 'yellow 5 color index19140']"
2,0,Rose Deep Hydration Moisturizer,FRESH,40,4.4,"['water', 'glycerin', 'ethylhexylisononanoate', 'butylene glycol', 'pentylene glycol', 'propanediol', 'caprylyl methicone', 'isostearyl isostearate', 'dimethicone', 'behenylalcohol', 'nylon 6 12', 'steareth 2', 'xanthan gum', 'prunusdomestica seed', 'rosa damascena flower', 'algin', 'angelica keiskei', 'acacia senegal gum', 'cucumis sativus cucumber fruit', 'rosa damascena flower', 'sodiumhyaluronate', 'tocopheryl acetate', 'ammonium acryloyldimethy ltaurate vp copolymer', 'steareth 21', 'polyacrylamide', 'c13 14isoparaffin', 'acrylates c10 30 alkyl acrylate crosspolymer', 'tromethamine', 'dimethiconol', 'laureth 7', 'tetrasodium edta', 'caprylic capric triglyceride', 'bht', 'caramel', 'serine', 'parfume', 'phenoxyethanol', 'citronellol', 'geraniol']"
2,11,R.N.A. POWER Face Cream,SK-II,230,4.3,"['water', 'glycerin', 'galactomyces ferment filtrate', 'isohexadecane', 'niacinamide', 'isopropyl isostearate', 'butylene glycol', 'butyrospermum parkii shea butter', 'caprylic capric triglyceride', 'pentylene glycol', 'dimethicone', 'phytosteryl behenyl octyldodecyl lauroyl glutamate', 'vinyl dimethicone methicone silsesquioxane crosspolymer', 'stearyl alcohol', 'sodium acrylate sodium acryloyldimethyl taurate copolymer', 'cetyl alcohol', 'behenyl alcohol', 'panthenol', 'tocopheryl acetate', 'benzyl alcohol', 'dimethiconol', 'cetyl stearyl alcohol', 'cetearyl glucoside', 'methylparaben', 'peg100 stearate', 'polymethylsilsesquioxane', 'polysorbate 80', 'stearic acid', 'disodium edta', 'propylparaben', 'sodium peg7 olive carboxylate', 'ethylparaben', 'sorbitan oleate', 'chlorella vulgaris', 'peg100 stearate', 'peg7 glyceryl cocoate', 'sodium hydroxide', 'parfume', 'acanthopanax senticosus eleuthero root', 'hydrolyzed soy protein', 'cynara scolymus artichoke leaf', 'polyquaternium 7', 'hydrolyzed yeast protein', 'palmitoyl pentapeptide 4', 'methylsilanol tri peg8 glyceryl cocoate', 'methicone', 'color index77891', 'iron oxides pitera']"
2,15,Crème de la Mer Mini,LA MER,85,4.1,"['algae seaweed', 'mineral', 'petrolatum', 'glycerin', 'isohexadecane', 'microcrystalline wax', 'lanolin alcohol', 'citrus aurantifolia lime', 'sesamum indicum sesame seed', 'eucalyptus globulus eucalyptus leaf', 'sesamum indicum sesame seed powder', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'magnesium sulfate', 'paraffin', 'tocopheryl succinate', 'niacin', 'water', 'beta carotene', 'decyl oleate', 'aluminum distearate', 'octyldodecanol', 'citric acid', 'cyanocobalamin', 'magnesium stearate', 'panthenol', 'limonene', 'geraniol', 'linalool', 'hydroxycitronellal', 'citronellol', 'benzyl salicylate', 'citral', 'sodium benzoate', 'alcohol denat', 'parfume']"
2,0,Bio-Performance Advanced Super Revitalizing Cream,SHISEIDO,78,4.6,"['water', 'glycerin', 'cyclomethicone', 'butylene glycol', 'dimethicone', 'cetyl octanoate', 'squalane', 'dimethicone copolyol', 'disteardimonium hectorite', 'hydrogenated c6 14 olefin polymers', 'peg150', 'mortierella', 'phytosteryl macadamiate', 'tocopheryl acetate', 'stearyl glycyrrhetinate', 'arginine hci', 'peg60 hydrogenated castor', 'sodium glutamate', 'disodium adenosine triphosphate', 'saccharomyces lysate', 'sodium acetylated hyaluronate', 'rosa roxburghii', 'octyl methoxycinnamate', 'agar', 'sodium hexametaphosphate', 'trisodium edta', 'tocopherol', 'bht', 'ethylparaben', 'butylparaben', 'methylparaben', 'parfume', 'iron oxides']"
